@RELATION 'Onset events in 3000'

@ATTRIBUTE 'Onset time in seconds' NUMERIC
@ATTRIBUTE 'Onset events of AcousticGuitar' STRING
@ATTRIBUTE 'Onset events of AltoSax' STRING
@ATTRIBUTE 'Onset events of Balalaika' STRING
@ATTRIBUTE 'Onset events of BrightPiano' STRING
@ATTRIBUTE 'Onset events of Cello' STRING
@ATTRIBUTE 'Onset events of Clarinet' STRING
@ATTRIBUTE 'Onset events of DoubleBassArco' STRING
@ATTRIBUTE 'Onset events of DoubleBassPizz' STRING
@ATTRIBUTE 'Onset events of Drums' STRING
@ATTRIBUTE 'Onset events of ElectricBass' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarClean' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarCrunch' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarLead' STRING
@ATTRIBUTE 'Onset events of ElectricPiano' STRING
@ATTRIBUTE 'Onset events of Erhu' STRING
@ATTRIBUTE 'Onset events of Flugelhorn' STRING
@ATTRIBUTE 'Onset events of Flute' STRING
@ATTRIBUTE 'Onset events of Fujara' STRING
@ATTRIBUTE 'Onset events of Jinghu' STRING
@ATTRIBUTE 'Onset events of MorinKhuur' STRING
@ATTRIBUTE 'Onset events of OrganBass' STRING
@ATTRIBUTE 'Onset events of PanFlute' STRING
@ATTRIBUTE 'Onset events of Piano' STRING
@ATTRIBUTE 'Onset events of Shakuhachi' STRING
@ATTRIBUTE 'Onset events of Sitar' STRING
@ATTRIBUTE 'Onset events of TenorSax' STRING
@ATTRIBUTE 'Onset events of Trombone' STRING
@ATTRIBUTE 'Onset events of Trumpet' STRING
@ATTRIBUTE 'Onset events of Ukulele' STRING
@ATTRIBUTE 'Onset events of Viola' STRING
@ATTRIBUTE 'Onset events of Violin' STRING

@DATA
0.0,'[]','[]','[]','[]','[]','[]','[]','[]','[+35,+51]','[]','[+55,+58,+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+53]','[]','[]','[]','[]','[]','[]','[+63]','[]','[]'
0.337078,'[]','[]','[]','[]','[]','[]','[]','[]','[+35]','[]','[55,58,63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53]','[]','[]','[]','[]','[]','[]','[+70]','[]','[]'
0.674157,'[]','[]','[]','[]','[]','[]','[]','[]','[+37,+59]','[]','[55,58,63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+67]','[]','[]'
1.011235,'[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[55,58,63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+50]','[]','[]','[]','[]','[]','[]','[+70]','[]','[]'
1.348314,'[]','[]','[]','[]','[]','[]','[]','[]','[+59]','[]','[55,58,63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+63]','[]','[]'
1.685392,'[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[55,58,63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+70]','[]','[]'
2.022471,'[]','[]','[]','[]','[]','[]','[]','[]','[+37,+59]','[]','[55,58,63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+60]','[]','[]','[]','[]','[]','[]','[+67]','[]','[]'
2.359549,'[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[55,58,63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+62]','[]','[]','[]','[]','[]','[]','[+70]','[]','[]'
2.696628,'[]','[]','[]','[]','[]','[]','[]','[]','[+35,+59]','[]','[+58,+62,+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+57]','[]','[]','[]','[]','[]','[]','[+70]','[]','[]'
3.033706,'[]','[]','[]','[]','[]','[]','[]','[]','[+35]','[]','[58,62,65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+62]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]'
