@RELATION 'Onset events in 1941'

@ATTRIBUTE 'Onset time in seconds' NUMERIC
@ATTRIBUTE 'Onset events of AcousticGuitar' STRING
@ATTRIBUTE 'Onset events of AltoSax' STRING
@ATTRIBUTE 'Onset events of Balalaika' STRING
@ATTRIBUTE 'Onset events of BrightPiano' STRING
@ATTRIBUTE 'Onset events of Cello' STRING
@ATTRIBUTE 'Onset events of Clarinet' STRING
@ATTRIBUTE 'Onset events of DoubleBassArco' STRING
@ATTRIBUTE 'Onset events of DoubleBassPizz' STRING
@ATTRIBUTE 'Onset events of Drums' STRING
@ATTRIBUTE 'Onset events of ElectricBass' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarClean' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarCrunch' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarLead' STRING
@ATTRIBUTE 'Onset events of ElectricPiano' STRING
@ATTRIBUTE 'Onset events of Erhu' STRING
@ATTRIBUTE 'Onset events of Flugelhorn' STRING
@ATTRIBUTE 'Onset events of Flute' STRING
@ATTRIBUTE 'Onset events of Fujara' STRING
@ATTRIBUTE 'Onset events of Jinghu' STRING
@ATTRIBUTE 'Onset events of MorinKhuur' STRING
@ATTRIBUTE 'Onset events of OrganBass' STRING
@ATTRIBUTE 'Onset events of PanFlute' STRING
@ATTRIBUTE 'Onset events of Piano' STRING
@ATTRIBUTE 'Onset events of Shakuhachi' STRING
@ATTRIBUTE 'Onset events of Sitar' STRING
@ATTRIBUTE 'Onset events of TenorSax' STRING
@ATTRIBUTE 'Onset events of Trombone' STRING
@ATTRIBUTE 'Onset events of Trumpet' STRING
@ATTRIBUTE 'Onset events of Ukulele' STRING
@ATTRIBUTE 'Onset events of Viola' STRING
@ATTRIBUTE 'Onset events of Violin' STRING

@DATA
0.0,'[+64]','[]','[]','[]','[+57,+60,+64]','[]','[+45]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+62]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
0.188679,'[+60]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
0.377358,'[+64]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
0.566037,'[+69]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+44]','[]','[]','[]','[]','[]','[]','[59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
0.754716,'[+60]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+67]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
0.943395,'[+64]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+44]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.132074,'[+60]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.320753,'[+64]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+44]','[]','[]','[]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.509432,'[+64]','[]','[]','[]','[+57,+60,+64]','[]','[+45]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.698111,'[+60]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.88679,'[+64]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.075469,'[+69]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+44]','[]','[]','[]','[]','[]','[]','[64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.264148,'[+60]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.452827,'[+64]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.641506,'[+60]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+62]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.830185,'[+64]','[]','[]','[]','[57,60,64]','[]','[45]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.018864,'[+60]','[]','[]','[]','[+57,+60,+65]','[]','[+41]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+67]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.207543,'[+69]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.396222,'[+60]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.584901,'[+65]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.77358,'[+69]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.962259,'[+60]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+44]','[]','[]','[]','[]','[]','[]','[+62]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.150938,'[+69]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+60]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.339617,'[+60]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+44]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.528296,'[+60]','[]','[]','[]','[+57,+60,+65]','[]','[+41]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+62]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.716975,'[+69]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.905654,'[+60]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.094333,'[+65]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.283012,'[+69]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+67]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.471691,'[+60]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+44]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.66037,'[+69]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.849049,'[+60]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+44]','[]','[]','[]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.037728,'[+60]','[]','[]','[]','[+57,+60,+65]','[]','[+41]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.226407,'[+69]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.415086,'[+60]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.603765,'[+65]','[]','[]','[]','[57,60,65]','[]','[41]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.792444,'[+62]','[]','[]','[]','[+55,+59,+62]','[]','[+43]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.981123,'[+71]','[]','[]','[]','[55,59,62]','[]','[43]','[]','[+44]','[]','[]','[]','[]','[]','[]','[59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.169802,'[+62]','[]','[]','[]','[55,59,62]','[]','[43]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+62]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.358481,'[+67]','[]','[]','[]','[55,59,62]','[]','[43]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.54716,'[+62]','[]','[]','[]','[+55,+59,+62]','[]','[+43]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+67]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.735839,'[+71]','[]','[]','[]','[55,59,62]','[]','[43]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.924518,'[+62]','[]','[]','[]','[55,59,62]','[]','[43]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.113197,'[+67]','[]','[]','[]','[55,59,62]','[]','[43]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.301876,'[+71]','[]','[]','[]','[55,59,62]','[]','[43]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.490555,'[+62]','[]','[]','[]','[55,59,62]','[]','[43]','[]','[+44]','[]','[]','[]','[]','[]','[]','[+62]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.679234,'[+71]','[]','[]','[]','[55,59,62]','[]','[43]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+60]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.867913,'[+62]','[]','[]','[]','[55,59,62]','[]','[43]','[]','[+44]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
9.056592,'[+67]','[]','[]','[]','[+55,+60,+64]','[]','[+36]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[+62]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
9.245271,'[+64]','[]','[]','[]','[55,60,64]','[]','[36]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
9.43395,'[+67]','[]','[]','[]','[55,60,64]','[]','[36]','[]','[+38,+44]','[]','[]','[]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
