@RELATION 'Onset events in 2269'

@ATTRIBUTE 'Onset time in seconds' NUMERIC
@ATTRIBUTE 'Onset events of AcousticGuitar' STRING
@ATTRIBUTE 'Onset events of AltoSax' STRING
@ATTRIBUTE 'Onset events of Balalaika' STRING
@ATTRIBUTE 'Onset events of BrightPiano' STRING
@ATTRIBUTE 'Onset events of Cello' STRING
@ATTRIBUTE 'Onset events of Clarinet' STRING
@ATTRIBUTE 'Onset events of DoubleBassArco' STRING
@ATTRIBUTE 'Onset events of DoubleBassPizz' STRING
@ATTRIBUTE 'Onset events of Drums' STRING
@ATTRIBUTE 'Onset events of ElectricBass' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarClean' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarCrunch' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarLead' STRING
@ATTRIBUTE 'Onset events of ElectricPiano' STRING
@ATTRIBUTE 'Onset events of Erhu' STRING
@ATTRIBUTE 'Onset events of Flugelhorn' STRING
@ATTRIBUTE 'Onset events of Flute' STRING
@ATTRIBUTE 'Onset events of Fujara' STRING
@ATTRIBUTE 'Onset events of Jinghu' STRING
@ATTRIBUTE 'Onset events of MorinKhuur' STRING
@ATTRIBUTE 'Onset events of OrganBass' STRING
@ATTRIBUTE 'Onset events of PanFlute' STRING
@ATTRIBUTE 'Onset events of Piano' STRING
@ATTRIBUTE 'Onset events of Shakuhachi' STRING
@ATTRIBUTE 'Onset events of Sitar' STRING
@ATTRIBUTE 'Onset events of TenorSax' STRING
@ATTRIBUTE 'Onset events of Trombone' STRING
@ATTRIBUTE 'Onset events of Trumpet' STRING
@ATTRIBUTE 'Onset events of Ukulele' STRING
@ATTRIBUTE 'Onset events of Viola' STRING
@ATTRIBUTE 'Onset events of Violin' STRING

@DATA
0.0,'[]','[]','[+53,+56,+61]','[]','[]','[]','[]','[]','[+35,+59]','[]','[]','[]','[+58]','[]','[]','[]','[]','[]','[]','[]','[+37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
0.379746,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[58]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
0.759493,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+35,+40,+44]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.139239,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.518986,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.898732,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.278479,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+40,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.658225,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.037972,'[]','[]','[+53,+56,+61]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[+37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.417718,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.797465,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+35,+40,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.177211,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.556958,'[]','[]','[+51,+54,+58]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[+39]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.936704,'[]','[]','[51,54,58]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[39]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.316451,'[]','[]','[51,54,58]','[]','[]','[]','[]','[]','[+40,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[39]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.696197,'[]','[]','[51,54,58]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[39]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.075944,'[]','[]','[+54,+58,+61]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.45569,'[]','[]','[54,58,61]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.835437,'[]','[]','[54,58,61]','[]','[]','[]','[]','[]','[+35,+40,+44]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.215183,'[]','[]','[54,58,61]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[65]','[]','[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.59493,'[]','[]','[54,58,61]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.974676,'[]','[]','[54,58,61]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.354423,'[]','[]','[54,58,61]','[]','[]','[]','[]','[]','[+40,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.734169,'[]','[]','[54,58,61]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
9.113916,'[]','[]','[+53,+56,+61]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[+37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
9.493662,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
9.873409,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+35,+40,+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
10.253155,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[+58]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
10.632902,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+35,+44]','[]','[]','[]','[+59]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
11.012648,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
11.392395,'[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[+40,+44]','[]','[]','[]','[+58]','[]','[]','[]','[]','[]','[]','[]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
