@RELATION 'Beat information of 0989'

@ATTRIBUTE 'Start time in seconds' NUMERIC
@ATTRIBUTE 'Bar count' NUMERIC
@ATTRIBUTE 'Quarter count' NUMERIC
@ATTRIBUTE 'Chord name' STRING

0.0,1,1,'Amin'
0.5,1,2,'Amin'
1.0,1,3,'Amin'
1.5,1,4,'Amin'
2.0,2,1,'Emin'
2.5,2,2,'Emin'
3.0,2,3,'Amin'
3.5,2,4,'Amin'
4.0,3,1,'Cmaj'
4.5,3,2,'Cmaj'
5.0,3,3,'Cmaj'
5.5,3,4,'Cmaj'
6.0,4,1,'Gmaj'
6.5,4,2,'Gmaj'
7.0,4,3,'Gmaj'
7.5,4,4,'Gmaj'
8.0,5,1,'Dmin'
8.5,5,2,'Dmin'
9.0,5,3,'Dmin'
9.5,5,4,'Dmin'
10.0,6,1,'Amin'
10.5,6,2,'Amin'
11.0,6,3,'Amin'
11.5,6,4,'Amin'
12.0,7,1,'Amin'
12.5,7,2,'Amin'
13.0,7,3,'Amin'
13.5,7,4,'Amin'
14.0,8,1,'Dmin'
14.5,8,2,'Dmin'
15.0,8,3,'Dmin'
15.5,8,4,'Dmin'
16.0,9,1,'Emin'
16.5,9,2,'Emin'
17.0,9,3,'Emin'
17.5,9,4,'Emin'
18.0,10,1,'Amin'
18.5,10,2,'Amin'
19.0,10,3,'Amin'
19.5,10,4,'Amin'
20.0,11,1,'Amin'
20.5,11,2,'Amin'
21.0,11,3,'Amin'
21.5,11,4,'Amin'
22.0,12,1,'Gmaj'
22.5,12,2,'Gmaj'
23.0,12,3,'Gmaj'
23.5,12,4,'Gmaj'
24.0,13,1,'Dmin'
24.5,13,2,'Dmin'
25.0,13,3,'Dmin'
25.5,13,4,'Dmin'
26.0,14,1,'Emin'
26.5,14,2,'Emin'
27.0,14,3,'Emin'
27.5,14,4,'Emin'
28.0,15,1,'Dmin'
28.5,15,2,'Dmin'
29.0,15,3,'Dmin'
29.5,15,4,'Dmin'
30.0,16,1,'Amin'
30.5,16,2,'Amin'
31.0,16,3,'Amin'
31.5,16,4,'Amin'
32.0,1,1,'Amin'
32.5,1,2,'Amin'
33.0,1,3,'Amin'
33.5,1,4,'Amin'
34.0,2,1,'Emin'
34.5,2,2,'Emin'
35.0,2,3,'Amin'
35.5,2,4,'Amin'
36.0,3,1,'Cmaj'
36.5,3,2,'Cmaj'
37.0,3,3,'Cmaj'
37.5,3,4,'Cmaj'
38.0,4,1,'Gmaj'
38.5,4,2,'Gmaj'
39.0,4,3,'Gmaj'
39.5,4,4,'Gmaj'
40.0,5,1,'Dmin'
40.5,5,2,'Dmin'
41.0,5,3,'Dmin'
41.5,5,4,'Dmin'
42.0,6,1,'Amin'
42.5,6,2,'Amin'
43.0,6,3,'Amin'
43.5,6,4,'Amin'
