@RELATION 'Onset events in 0080'

@ATTRIBUTE 'Onset time in seconds' NUMERIC
@ATTRIBUTE 'Onset events of AcousticGuitar' STRING
@ATTRIBUTE 'Onset events of AltoSax' STRING
@ATTRIBUTE 'Onset events of Balalaika' STRING
@ATTRIBUTE 'Onset events of BrightPiano' STRING
@ATTRIBUTE 'Onset events of Cello' STRING
@ATTRIBUTE 'Onset events of Clarinet' STRING
@ATTRIBUTE 'Onset events of DoubleBassArco' STRING
@ATTRIBUTE 'Onset events of DoubleBassPizz' STRING
@ATTRIBUTE 'Onset events of Drums' STRING
@ATTRIBUTE 'Onset events of ElectricBass' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarClean' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarCrunch' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarLead' STRING
@ATTRIBUTE 'Onset events of ElectricPiano' STRING
@ATTRIBUTE 'Onset events of Erhu' STRING
@ATTRIBUTE 'Onset events of Flugelhorn' STRING
@ATTRIBUTE 'Onset events of Flute' STRING
@ATTRIBUTE 'Onset events of Fujara' STRING
@ATTRIBUTE 'Onset events of Jinghu' STRING
@ATTRIBUTE 'Onset events of MorinKhuur' STRING
@ATTRIBUTE 'Onset events of OrganBass' STRING
@ATTRIBUTE 'Onset events of PanFlute' STRING
@ATTRIBUTE 'Onset events of Piano' STRING
@ATTRIBUTE 'Onset events of Shakuhachi' STRING
@ATTRIBUTE 'Onset events of Sitar' STRING
@ATTRIBUTE 'Onset events of TenorSax' STRING
@ATTRIBUTE 'Onset events of Trombone' STRING
@ATTRIBUTE 'Onset events of Trumpet' STRING
@ATTRIBUTE 'Onset events of Ukulele' STRING
@ATTRIBUTE 'Onset events of Viola' STRING
@ATTRIBUTE 'Onset events of Violin' STRING

@DATA
0.0,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+36,+59]','[+46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+53,+58,+61]','[]','[]','[]','[]','[]','[]','[]','[]'
0.184049,'[]','[+68]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
0.368098,'[]','[+65]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
0.552147,'[]','[+73]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
0.736196,'[]','[+70]','[]','[]','[]','[]','[]','[]','[+36,+40,+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
0.920245,'[]','[]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
1.104294,'[]','[+77]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
1.288343,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
1.472392,'[]','[+77]','[]','[]','[]','[]','[]','[]','[+36,+42]','[+39]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+54,+58,+63]','[]','[]','[]','[]','[]','[]','[]','[]'
1.656441,'[]','[]','[]','[]','[]','[]','[]','[]','[+42]','[39]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,63]','[]','[]','[]','[]','[]','[]','[]','[]'
1.84049,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+42]','[39]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,63]','[]','[]','[]','[]','[]','[]','[]','[]'
2.024539,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+42]','[39]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[54,58,63]','[]','[]','[]','[]','[]','[]','[]','[]'
2.208588,'[]','[+70]','[]','[]','[]','[]','[]','[]','[+36,+40,+42]','[+37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+53,+56,+61]','[]','[]','[]','[]','[]','[]','[]','[]'
2.392637,'[]','[70]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
2.576686,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
2.760735,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
2.944784,'[]','[+77]','[]','[]','[]','[]','[]','[]','[+36,+42]','[+37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+53,+56,+61]','[]','[]','[]','[]','[]','[]','[]','[]'
3.128833,'[]','[]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
3.312882,'[]','[]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
3.496931,'[]','[+68]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
3.68098,'[]','[+68]','[]','[]','[]','[]','[]','[]','[+36,+40,+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
3.865029,'[]','[+77]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
4.049078,'[]','[]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
4.233127,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
4.417176,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+36,+42]','[+37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+53,+56,+61]','[]','[]','[]','[]','[]','[]','[]','[]'
4.601225,'[]','[+68]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
4.785274,'[]','[+65]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
4.969323,'[]','[+73]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
5.153372,'[]','[+75]','[]','[]','[]','[]','[]','[]','[+36,+40,+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
5.337421,'[]','[+70]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
5.52147,'[]','[+77]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
5.705519,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
5.889568,'[]','[+73]','[]','[]','[]','[]','[]','[]','[+36,+42]','[+44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+60,+63]','[]','[]','[]','[]','[]','[]','[]','[]'
6.073617,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+42]','[44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,60,63]','[]','[]','[]','[]','[]','[]','[]','[]'
6.257666,'[]','[]','[]','[]','[]','[]','[]','[]','[+42]','[44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,60,63]','[]','[]','[]','[]','[]','[]','[]','[]'
6.441715,'[]','[+70]','[]','[]','[]','[]','[]','[]','[+42]','[44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,60,63]','[]','[]','[]','[]','[]','[]','[]','[]'
6.625764,'[]','[+65]','[]','[]','[]','[]','[]','[]','[+36,+40,+42]','[44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,60,63]','[]','[]','[]','[]','[]','[]','[]','[]'
6.809813,'[]','[+68]','[]','[]','[]','[]','[]','[]','[+42]','[44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,60,63]','[]','[]','[]','[]','[]','[]','[]','[]'
6.993862,'[]','[+77]','[]','[]','[]','[]','[]','[]','[+42]','[44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,60,63]','[]','[]','[]','[]','[]','[]','[]','[]'
7.177911,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+42]','[44]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,60,63]','[]','[]','[]','[]','[]','[]','[]','[]'
7.36196,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+42]','[+37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+53,+56,+61]','[]','[]','[]','[]','[]','[]','[]','[]'
7.546009,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
7.730058,'[]','[]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
7.914107,'[]','[]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
8.098156,'[]','[+75]','[]','[]','[]','[]','[]','[]','[+36,+40,+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
8.282205,'[]','[+75]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
8.466254,'[]','[+70]','[]','[]','[]','[]','[]','[]','[+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
8.650303,'[]','[70]','[]','[]','[]','[]','[]','[]','[+36,+42]','[37]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,56,61]','[]','[]','[]','[]','[]','[]','[]','[]'
8.834352,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+36,+42]','[+46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+53,+58,+61]','[]','[]','[]','[]','[]','[]','[]','[]'
9.018401,'[]','[+68]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
9.20245,'[]','[+65]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
9.386499,'[]','[+73]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
9.570548,'[]','[+70]','[]','[]','[]','[]','[]','[]','[+36,+40,+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
9.754597,'[]','[]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
9.938646,'[]','[+77]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
10.122695,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
10.306744,'[]','[+77]','[]','[]','[]','[]','[]','[]','[+36,+42]','[+46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+53,+58,+61]','[]','[]','[]','[]','[]','[]','[]','[]'
10.490793,'[]','[77]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
10.674842,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
10.858891,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
11.04294,'[]','[+70]','[]','[]','[]','[]','[]','[]','[+36,+40,+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
11.226989,'[]','[]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
11.411038,'[]','[+72]','[]','[]','[]','[]','[]','[]','[+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
11.595087,'[]','[]','[]','[]','[]','[]','[]','[]','[+36,+42]','[46]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[53,58,61]','[]','[]','[]','[]','[]','[]','[]','[]'
