@RELATION 'Onset events in 0989'

@ATTRIBUTE 'Onset time in seconds' NUMERIC
@ATTRIBUTE 'Onset events of AcousticGuitar' STRING
@ATTRIBUTE 'Onset events of AltoSax' STRING
@ATTRIBUTE 'Onset events of Balalaika' STRING
@ATTRIBUTE 'Onset events of BrightPiano' STRING
@ATTRIBUTE 'Onset events of Cello' STRING
@ATTRIBUTE 'Onset events of Clarinet' STRING
@ATTRIBUTE 'Onset events of DoubleBassArco' STRING
@ATTRIBUTE 'Onset events of DoubleBassPizz' STRING
@ATTRIBUTE 'Onset events of Drums' STRING
@ATTRIBUTE 'Onset events of ElectricBass' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarClean' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarCrunch' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarLead' STRING
@ATTRIBUTE 'Onset events of ElectricPiano' STRING
@ATTRIBUTE 'Onset events of Erhu' STRING
@ATTRIBUTE 'Onset events of Flugelhorn' STRING
@ATTRIBUTE 'Onset events of Flute' STRING
@ATTRIBUTE 'Onset events of Fujara' STRING
@ATTRIBUTE 'Onset events of Jinghu' STRING
@ATTRIBUTE 'Onset events of MorinKhuur' STRING
@ATTRIBUTE 'Onset events of OrganBass' STRING
@ATTRIBUTE 'Onset events of PanFlute' STRING
@ATTRIBUTE 'Onset events of Piano' STRING
@ATTRIBUTE 'Onset events of Shakuhachi' STRING
@ATTRIBUTE 'Onset events of Sitar' STRING
@ATTRIBUTE 'Onset events of TenorSax' STRING
@ATTRIBUTE 'Onset events of Trombone' STRING
@ATTRIBUTE 'Onset events of Trumpet' STRING
@ATTRIBUTE 'Onset events of Ukulele' STRING
@ATTRIBUTE 'Onset events of Viola' STRING
@ATTRIBUTE 'Onset events of Violin' STRING

@DATA
0.0,'[]','[]','[]','[+57,+60,+64]','[+60]','[]','[]','[+45]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
0.25,'[]','[]','[]','[57,60,64]','[+64]','[]','[]','[45]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
0.5,'[]','[]','[]','[57,60,64]','[+60]','[]','[]','[45]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
0.75,'[]','[]','[]','[57,60,64]','[+69]','[]','[]','[45]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.0,'[]','[]','[]','[57,60,64]','[+64]','[]','[]','[45]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.25,'[]','[]','[]','[57,60,64]','[+60]','[]','[]','[45]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[69]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.5,'[]','[]','[]','[57,60,64]','[+69]','[]','[]','[45]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
1.75,'[]','[]','[]','[57,60,64]','[+60]','[]','[]','[45]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.0,'[]','[]','[]','[+55,+59,+64]','[+67]','[]','[]','[+40]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+67]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.25,'[]','[]','[]','[55,59,64]','[+71]','[]','[]','[40]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.5,'[]','[]','[]','[55,59,64]','[+67]','[]','[]','[40]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+74]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
2.75,'[]','[]','[]','[55,59,64]','[+64]','[]','[]','[40]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.0,'[]','[]','[]','[+57,+60,+64]','[+60]','[]','[]','[+45]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+67]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.25,'[]','[]','[]','[57,60,64]','[+64]','[]','[]','[45]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+74]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.5,'[]','[]','[]','[57,60,64]','[+60]','[]','[]','[45]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
3.75,'[]','[]','[]','[57,60,64]','[+69]','[]','[]','[45]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.0,'[]','[]','[]','[+55,+60,+64]','[+64]','[]','[]','[+36]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.25,'[]','[]','[]','[55,60,64]','[+67]','[]','[]','[36]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.5,'[]','[]','[]','[55,60,64]','[+64]','[]','[]','[36]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
4.75,'[]','[]','[]','[55,60,64]','[+60]','[]','[]','[36]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.0,'[]','[]','[]','[55,60,64]','[+67]','[]','[]','[36]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.25,'[]','[]','[]','[55,60,64]','[+64]','[]','[]','[36]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.5,'[]','[]','[]','[55,60,64]','[+60]','[]','[]','[36]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+74]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
5.75,'[]','[]','[]','[55,60,64]','[+64]','[]','[]','[36]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[74]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.0,'[]','[]','[]','[+55,+59,+62]','[+71]','[]','[]','[+43]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.25,'[]','[]','[]','[55,59,62]','[+62]','[]','[]','[43]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.5,'[]','[]','[]','[55,59,62]','[+71]','[]','[]','[43]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
6.75,'[]','[]','[]','[55,59,62]','[+67]','[]','[]','[43]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.0,'[]','[]','[]','[55,59,62]','[+62]','[]','[]','[43]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.25,'[]','[]','[]','[55,59,62]','[+71]','[]','[]','[43]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[69]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.5,'[]','[]','[]','[55,59,62]','[+67]','[]','[]','[43]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[69]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
7.75,'[]','[]','[]','[55,59,62]','[+71]','[]','[]','[43]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[69]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.0,'[]','[]','[]','[+57,+62,+65]','[+65]','[]','[]','[+38]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.25,'[]','[]','[]','[57,62,65]','[+69]','[]','[]','[38]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.5,'[]','[]','[]','[57,62,65]','[+65]','[]','[]','[38]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
8.75,'[]','[]','[]','[57,62,65]','[+62]','[]','[]','[38]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
9.0,'[]','[]','[]','[57,62,65]','[+69]','[]','[]','[38]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
9.25,'[]','[]','[]','[57,62,65]','[+65]','[]','[]','[38]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[69]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
9.5,'[]','[]','[]','[57,62,65]','[+62]','[]','[]','[38]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+65]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
9.75,'[]','[]','[]','[57,62,65]','[+65]','[]','[]','[38]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+69]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
10.0,'[]','[]','[]','[+57,+60,+64]','[+60]','[]','[]','[+45]','[+36,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+67]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
10.25,'[]','[]','[]','[57,60,64]','[+64]','[]','[]','[45]','[+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
10.5,'[]','[]','[]','[57,60,64]','[+60]','[]','[]','[45]','[+40,+42]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+74]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]'
